Schema,View
dbo,v_m_agama
dbo,v_m_aset
dbo,v_m_aset_detail
dbo,v_m_barang
dbo,v_m_barang_divisi
dbo,v_m_barang_divisi_diskon
dbo,v_m_barang_divisi_supplier
dbo,v_m_barang_formula
dbo,v_m_barang_satuan
dbo,v_m_barang_supplier
dbo,v_m_biaya
dbo,v_m_ekspedisi
dbo,v_m_hari_libur_agama
dbo,v_m_jabatan_gaji
dbo,v_m_jasa
dbo,v_m_jasa_detail
dbo,v_m_kas
dbo,v_m_kota
dbo,v_m_pegawai
dbo,v_m_pegawai_finger_print
dbo,v_m_pegawai_komisi
dbo,v_m_pendapatan
dbo,v_m_pihak_lain
dbo,v_m_supplier
dbo,v_m_surat
dbo,v_m_user_group_menu
dbo,v_m_user_menu
dbo,v_m_userx
dbo,v_t_absensi
dbo,v_t_absensi_2
dbo,v_t_absensi_histori
dbo,v_t_absensi_istirahat
dbo,v_t_absensi_kantor_union
dbo,v_t_absensi_masuk_keluar
dbo,v_t_absensi_pegawai_lain
dbo,v_t_absensi_ringkasan
dbo,v_t_barang_satuan
dbo,v_t_biaya_operasional
dbo,v_t_bukti_pembayaran
dbo,v_t_cek_proses_pembelian
dbo,v_t_hutang_aset_cicilan
dbo,v_t_hutang_cicilan
dbo,v_t_hutang_cicilan_biaya_angkut_pembelian
dbo,v_t_hutang_pegawai
dbo,v_t_hutang_pegawai_cicilan
dbo,v_t_kendaraan_jarak_tempuh
dbo,v_t_kendaraan_jarak_tempuh_bbm
dbo,v_t_kendaraan_pengisian_bbm
dbo,v_t_kendaraan_perawatan
dbo,v_t_kendaraan_rata_rata
dbo,v_t_kendaraan_tanggung_jawab
dbo,v_t_mutasi_kas
dbo,v_t_mutasi_stok
dbo,v_t_mutasi_stok_detail
dbo,v_t_ongkos_kendaraan_kwantum
dbo,v_t_opname_stok
dbo,v_t_pegawai_ganti_shift
dbo,v_t_pegawai_ganti_shift_detail
dbo,v_t_pegawai_izin
dbo,v_t_pegawai_masuk_kantor
dbo,v_t_pegawai_surat_peringatan
dbo,v_t_pegawai_yang_absen
dbo,v_t_pembelian
dbo,v_t_pembelian_biaya_angkut
dbo,v_t_pembelian_detail
dbo,v_t_pembelian_order
dbo,v_t_pembelian_order_detail
dbo,v_t_pembelian_order_spare_part
dbo,v_t_pembelian_retur
dbo,v_t_pembelian_retur_detail
dbo,v_t_penambahan_kas
dbo,v_t_pendapatan
dbo,v_t_penjualan
dbo,v_t_penjualan_1
dbo,v_t_penjualan_5
dbo,v_t_penjualan_detail
dbo,v_t_penjualan_detail_1
dbo,v_t_penjualan_detail_5
dbo,v_t_penjualan_jasa
dbo,v_t_penjualan_jasa_detail
dbo,v_t_penjualan_new
dbo,v_t_penjualan_nota
dbo,v_t_penjualan_nota_kosong
dbo,v_t_penjualan_nota_kosong_belum_terdaftar
dbo,v_t_penjualan_order
dbo,v_t_penjualan_order_detail
dbo,v_t_penjualan_pajak
dbo,v_t_penjualan_per_tanggal
dbo,v_t_penjualan_retur
dbo,v_t_penjualan_retur_detail
dbo,v_t_penjualan_subtotal
dbo,v_t_persewaan
dbo,v_t_persewaan_detail
dbo,v_t_persewaan_jasa
dbo,v_t_piutang_cicilan
dbo,v_t_piutang_jasa_cicilan
dbo,v_t_piutang_terbayar
dbo,v_t_piutang_total
dbo,v_t_prive
dbo,v_t_surat
dbo,v_t_surat_berharga
dbo,v_t_surat_berharga_union_dari_transaksi
dbo,v_t_surat_berharga1
dbo,v_t_system_table
dbo,v_t_tagihan
dbo,v_t_tagihan_piutang
dbo,v_t_transaksi_barang
